,Balanced Accuracy,Precision,Recall,F1,Kappa
Dummy,0.5 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Dummy scaled,0.5 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
NaiveBayes,0.693 +/- 0.012,0.078 +/- 0.01,0.4 +/- 0.023,0.131 +/- 0.015,0.126 +/- 0.015
NaiveBayes scaled,0.698 +/- 0.011,0.082 +/- 0.01,0.411 +/- 0.021,0.137 +/- 0.015,0.132 +/- 0.015
Logistic Regression,0.847 +/- 0.021,0.485 +/- 0.019,0.696 +/- 0.042,0.57 +/- 0.01,0.569 +/- 0.01
Logistic Regression scaled,0.513 +/- 0.014,0.933 +/- 0.133,0.025 +/- 0.028,0.047 +/- 0.052,0.047 +/- 0.052
Random Forest,0.865 +/- 0.013,0.961 +/- 0.021,0.729 +/- 0.026,0.829 +/- 0.017,0.828 +/- 0.017
Random Forest scaled,0.865 +/- 0.015,0.955 +/- 0.023,0.731 +/- 0.029,0.827 +/- 0.02,0.827 +/- 0.02
LGBM,0.696 +/- 0.12,0.308 +/- 0.211,0.395 +/- 0.239,0.332 +/- 0.221,0.33 +/- 0.222
LGBM scaled,0.691 +/- 0.1,0.275 +/- 0.2,0.386 +/- 0.201,0.309 +/- 0.197,0.306 +/- 0.198
